"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"12W-1"	"12W-2"	"12W-4"	"12W-3"	"12W-5"	"12W-6"	"32W-5"	"32W-6"	"32W-7"	"32W-8"	"52W-1"	"52W-2"	"24W-1"	"24W-2"	"24W-3"	"24W-4"	"24W-5"	"24W-6"	"24W-7"	"24W-8"	"12W-7"	"12W-8"	"4W-1"	"4W-2"	"4W-3"	"4W-4"	"4W-5"	"4W-6"	"4W-7"	"4W-8"	"52W-3"	"52W-4"	"52W-5"	"52W-6"	"52W-7"	"52W-8"	"32W-1"	"32W-2"	"32W-3"	"32W-4"
""	""	""	""	"PC(P-16:0/2:0)"	"522.3548312"	""	""	""	"87.7685"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"6.999465512"	"10.26094944"	"6.719027546"	"1686.828531"	"1008.388849"	"955.9372719"	"1407.061801"	"779.5065079"	"1179.85224"	"1062.556008"	"1449.571677"	"1375.274948"	"1024.269687"	"4.105619287"	"1061.026428"	"894.0780354"	"1115.402996"	"1308.457711"	"1059.419035"	"1162.895553"	"1168.501648"	"702.2537691"	"756.8594735"	"780.7970428"	"777.5234352"	"854.9526212"	"469.6425204"	"686.7879446"	"599.1848059"	"505.5184274"	"1569.174943"	"1246.287404"	"1046.184411"	"3041.36007"	"2098.516465"	"1710.134808"	"963.2321123"	"942.1661358"	"1003.014967"	"1220.888097"
""	""	""	""	"PC(P-16:0/2:0)"	"522.3582605"	""	""	""	"117.282"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"5.730596365"	"9.353232149"	"9.336034199"	"99.4653722"	"31.22415392"	"36.86828168"	"84.09495497"	"56.81104356"	"46.7941593"	"72.86258722"	"104.3410731"	"86.68679148"	"26.33645687"	"5.758209435"	"31.34223965"	"18.94826379"	"61.08213512"	"122.4842916"	"45.34129209"	"44.52304788"	"45.30224046"	"29.42502448"	"43.18104443"	"49.92839677"	"23.35418324"	"100.9358506"	"72.0214733"	"66.22305973"	"39.63853174"	"15.62804637"	"150.6849984"	"102.3065077"	"86.96034383"	"138.5286472"	"94.99847183"	"105.5453862"	"35.2325229"	"38.91567753"	"72.1342864"	"52.38288411"
""	""	""	""	"PC(P-18:0/2:0)"	"550.3854043"	""	""	""	"114.511"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"2.449682885"	"4.213456868"	"3.321817771"	"108.853682"	"66.02310754"	"57.85042811"	"92.11457863"	"51.03164429"	"91.13529946"	"90.39517628"	"118.7841235"	"89.351476"	"74.59058013"	"2.848444692"	"67.14517839"	"55.60053852"	"116.9577449"	"81.67744122"	"77.81832254"	"66.04915165"	"69.52501602"	"44.4476572"	"54.11580752"	"58.17923573"	"58.42729839"	"68.23171001"	"48.11618691"	"43.22847591"	"43.49217187"	"34.30748838"	"121.9631722"	"89.57560951"	"67.44748121"	"219.2822243"	"156.5508441"	"144.9396103"	"63.91647805"	"60.29581676"	"66.66569489"	"79.65582623"
""	""	""	""	"PC(P-20:0/12:0)"	"718.5688862"	""	""	""	"410.657"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"65.5169856"	"79.01033513"	"77.21504079"	"137.3646529"	"74.56876959"	"63.95563262"	"127.3860324"	"73.84851037"	"88.63042277"	"82.42182079"	"174.9506129"	"153.6521081"	"88.59415156"	"75.0267679"	"78.74610954"	"58.7126358"	"79.54748994"	"89.50131049"	"85.11852949"	"86.9429251"	"69.88578952"	"55.52546012"	"89.31469746"	"92.83954184"	"80.49778153"	"93.53996359"	"69.64785278"	"72.89937239"	"62.35755777"	"50.56565004"	"149.9735588"	"117.1153381"	"116.5386236"	"221.0036046"	"223.9511373"	"155.2518314"	"84.43618349"	"83.77186084"	"85.65232421"	"53.45169068"
""	""	""	""	"PC(P-20:0/12:0)"	"718.5732527"	""	""	""	"390.662"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"353.6427059"	"387.9580163"	"333.0874238"	"485.6789115"	"253.3230185"	"270.5105616"	"482.2751187"	"250.8607116"	"328.2617868"	"248.3507775"	"529.9775192"	"596.6975767"	"337.8723426"	"286.6298567"	"344.0948233"	"231.1837406"	"325.7825463"	"347.3211979"	"323.1816847"	"302.6283227"	"240.2539858"	"199.4961417"	"419.9006788"	"427.528878"	"385.6828809"	"357.8539448"	"317.5707532"	"343.6572185"	"209.2774172"	"183.2651571"	"581.952891"	"490.1284777"	"436.4515418"	"779.6212955"	"639.3960516"	"588.5445545"	"285.6517073"	"349.6583568"	"294.6145187"	"224.4210642"
""	""	""	""	"PC(P-20:0/12:0)"	"718.5732347"	""	""	""	"355.7035"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"84.68657745"	"94.29111628"	"67.5717312"	"123.2194849"	"59.01375999"	"59.95553793"	"145.4186556"	"57.79922891"	"75.05666435"	"53.29401855"	"141.9329509"	"152.9638471"	"84.58889933"	"66.51063097"	"74.93826536"	"54.32623262"	"87.24087611"	"76.45142934"	"76.3012311"	"70.21240856"	"57.81802292"	"45.78102022"	"256.4467727"	"222.1606441"	"224.0970301"	"216.4101932"	"112.2321045"	"151.2146345"	"94.13165231"	"81.86767592"	"162.6526809"	"106.2015393"	"127.0963226"	"178.9624822"	"179.5484255"	"144.4609699"	"97.94305173"	"79.66608852"	"70.28693583"	"51.91905145"
""	""	""	""	"PC(P-16:0/18:3)"	"740.5724087"	""	""	""	"409.386"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"72.81077485"	"96.19670234"	"73.99197618"	"155.1218511"	"71.18805669"	"67.29858962"	"102.4681457"	"54.28331277"	"75.89546975"	"82.14624658"	"123.9033246"	"135.0028254"	"83.23890809"	"81.86824249"	"84.74249007"	"68.18788803"	"82.05861601"	"98.47375269"	"71.26816938"	"83.8868409"	"70.46646717"	"50.50734196"	"85.7137934"	"74.76996968"	"76.20957476"	"74.63247574"	"35.01522583"	"40.57262497"	"76.67697786"	"29.1708442"	"100.9184999"	"90.02511687"	"98.58851787"	"289.223098"	"186.0337617"	"179.3933302"	"72.0613365"	"184.0858245"	"66.5888938"	"69.00448873"
""	""	""	""	"PC(P-20:0/14:1)"	"744.5891421"	""	""	""	"393.3365"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"372.1989214"	"431.0004397"	"343.8820166"	"510.5357467"	"320.0383029"	"290.4340135"	"558.0896814"	"346.5907251"	"385.762088"	"365.9573897"	"786.8265672"	"638.2380037"	"364.0244222"	"296.1879032"	"382.327536"	"253.0949053"	"350.1394758"	"370.8281649"	"312.2534837"	"307.1041546"	"314.965057"	"233.8807397"	"312.3926869"	"342.1483605"	"311.1449863"	"275.7406461"	"178.7887946"	"190.6182376"	"153.5709665"	"121.5345112"	"726.1763286"	"544.8207652"	"533.0111541"	"1255.027538"	"1120.37926"	"713.3872171"	"419.961284"	"428.234855"	"352.9685476"	"276.6827379"
""	""	""	""	"PC(P-20:0/14:1)"	"744.5891412"	""	""	""	"448.06"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"95.12254762"	"108.5777629"	"93.36767939"	"145.4229396"	"87.65829252"	"85.02366007"	"200.7238613"	"152.6017868"	"144.5346395"	"114.7445203"	"246.3989535"	"209.2470715"	"110.0727823"	"93.762175"	"108.03349"	"73.67618914"	"105.5818874"	"114.1602033"	"128.0986173"	"93.69710934"	"71.96152866"	"73.33940323"	"58.695503"	"64.57294228"	"65.93411389"	"58.91245773"	"44.94301835"	"44.43571465"	"37.02890664"	"21.16971922"	"284.2745035"	"164.7402222"	"187.5467885"	"627.7425859"	"552.4132655"	"270.7366663"	"135.3372361"	"129.7275703"	"118.1282861"	"102.4425725"
""	""	""	""	"PC(P-20:0/14:0)"	"746.6033311"	""	""	""	"402.448"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"1063.010066"	"911.9150617"	"1050.066815"	"1424.042137"	"527.5524986"	"750.5575418"	"1314.616439"	"395.8009569"	"529.2038659"	"422.4755989"	"1481.994141"	"1402.66632"	"962.3648505"	"571.2768246"	"967.1033612"	"488.7184165"	"645.6931669"	"584.4330033"	"535.5101819"	"654.6712611"	"754.0985153"	"601.9709013"	"1486.922707"	"1617.078766"	"1355.747634"	"2166.819447"	"845.2029312"	"1467.600334"	"877.7732568"	"744.038415"	"1807.977754"	"1309.404535"	"913.219992"	"1074.982106"	"1326.112095"	"1023.228626"	"690.5977326"	"853.8003277"	"470.6905264"	"488.6772254"
